Time,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,ActivityLabel
386611,9.48,-1.49,3.00,-0.09,-0.02,-0.04,fall_forward
386631,9.48,-1.45,2.47,-0.04,-0.04,-0.04,fall_forward
386651,9.47,-1.33,3.07,-0.02,-0.06,-0.06,fall_forward
386671,9.55,-1.34,2.75,-0.08,-0.04,-0.04,fall_forward
386691,9.48,-1.59,2.85,-0.04,-0.07,-0.05,fall_forward
386711,9.64,-1.45,2.90,-0.10,-0.04,-0.05,fall_forward
386731,9.59,-1.45,2.64,-0.04,-0.06,-0.06,fall_forward
386751,9.62,-1.55,2.85,0.01,-0.05,-0.04,fall_forward
386771,9.52,-1.41,2.96,0.00,-0.06,-0.04,fall_forward
386791,9.57,-1.43,2.90,-0.05,-0.05,-0.05,fall_forward
386811,9.56,-1.40,2.91,-0.04,-0.07,-0.05,fall_forward
386831,9.62,-1.48,2.83,-0.02,-0.07,-0.05,fall_forward
386851,9.52,-1.50,2.80,0.00,-0.06,-0.06,fall_forward
386871,9.66,-1.42,2.92,-0.02,-0.06,-0.05,fall_forward
386891,9.58,-1.48,2.87,-0.02,-0.06,-0.05,fall_forward
386911,9.62,-1.44,2.82,-0.02,-0.03,-0.05,fall_forward
386931,9.54,-1.46,2.81,-0.01,-0.05,-0.05,fall_forward
386951,9.69,-1.44,2.83,-0.01,-0.06,-0.04,fall_forward
386971,9.60,-1.44,2.78,0.00,-0.06,-0.04,fall_forward
386991,9.56,-1.41,2.90,-0.00,-0.06,-0.05,fall_forward
387011,9.58,-1.41,2.89,-0.02,-0.06,-0.05,fall_forward
387031,9.63,-1.41,2.87,-0.02,-0.07,-0.05,fall_forward
387051,9.71,-1.38,2.81,-0.04,-0.04,-0.05,fall_forward
387071,9.63,-1.44,2.67,-0.03,-0.05,-0.05,fall_forward
387091,9.59,-1.42,2.72,-0.01,-0.05,-0.05,fall_forward
387111,9.56,-1.34,2.91,-0.03,-0.06,-0.04,fall_forward
387131,9.62,-1.39,2.89,-0.05,-0.05,-0.05,fall_forward
387151,9.64,-1.43,2.85,-0.03,-0.05,-0.05,fall_forward
387171,9.68,-1.43,2.89,-0.02,-0.05,-0.04,fall_forward
387191,9.65,-1.40,2.80,-0.02,-0.04,-0.03,fall_forward
387211,9.75,-1.32,2.69,-0.02,-0.02,-0.03,fall_forward
387231,9.74,-1.45,2.82,-0.02,-0.01,-0.03,fall_forward
387251,9.57,-1.45,2.69,0.01,-0.00,-0.04,fall_forward
387271,9.56,-1.37,2.92,0.01,-0.03,-0.04,fall_forward
387291,9.82,-1.25,2.74,-0.03,-0.02,-0.02,fall_forward
387311,9.54,-1.35,2.79,0.01,-0.02,-0.02,fall_forward
387331,9.65,-1.21,2.83,-0.03,-0.03,-0.02,fall_forward
387351,9.66,-1.41,2.55,-0.02,-0.05,-0.03,fall_forward
387371,9.74,-1.41,2.69,0.02,-0.03,-0.03,fall_forward
387391,9.60,-1.31,2.80,0.01,-0.01,-0.03,fall_forward
387411,9.60,-1.33,2.84,-0.01,-0.03,-0.02,fall_forward
387431,9.68,-1.38,2.74,-0.02,-0.01,-0.02,fall_forward
387451,9.65,-1.38,2.76,0.01,0.00,-0.02,fall_forward
387471,9.66,-1.33,2.77,0.01,-0.00,-0.02,fall_forward
387491,9.56,-1.33,2.91,-0.00,-0.00,-0.02,fall_forward
387511,9.67,-1.42,2.66,0.00,0.01,-0.02,fall_forward
